States,x,y
Jammu-Kashmir,-100.0,240.0
Himachal Pradesh,-93.0,193.0
Punjab,-124.0,171.0
Uttarakhand,-58.0,158.0
Haryana,-109.0,140.0
Uttar Pradesh,-42.0,98.0
Bihar,51.0,72.0
Sikkim,100.0,109.0
Arunachal Pradesh,208.0,137.0
Nagaland,207.0,84.0
Manipur,194.0,57.0
Mizoram,178.0,21.0
Tripura,157.0,37.0
Meghalaya,142.0,68.0
Assam,154.0,87.0
West Bengal,91.0,25.0
Odisha,39.0,-34.0
Jharkhand,28.0,37.0
Chhattisgarh,-16.0,-14.0
Madhya Pradesh,-83.0,19.0
Gujarat,-196.0,18.0
Rajasthan,-165.0,86.0
Maharashtra,-134.0,-60.0
Goa,-152.0,-123.0
Telangana,-64.0,-81.0
Andhra Pradesh,-63.0,-136.0
Tamil Nadu,-73.0,-205.0
Kerala,-111.0,-214.0
Karnataka,-125.0,-145.0
Andaman and Nicobar Islands,186.0,-189.0
Lakshadweep,-180.0,-207.0